Year;Site_occupied;Breeder;Non_Breeder;Chicks
1988/1989;31;27;3;40
1989/1990;29;27;2;53
1990/1991;30;29;1;55
1991/1992;30;27;2;51
1992/1993;28;28;0;43
1993/1994;33;31;1;22
1994/1995;40;38;2;61
1995/1996;40;37;3;70
1996/1997;43;40;3;63
1997/1998;45;39;6;48
1998/1999;42;38;4;18
1999/2000;46;34;8;35
2000/2001;42;37;4;40
2001/2002;43;39;3;37
2002/2003;50;44;5;50
2003/2004;53;44;8;58
2004/2005;55;49;5;46
2005/2006;48;47;1;60
2006/2007;60;54;3;56
2007/2008;65;59;6;99
2008/2009;64;47;14;70
2009/2010;66;47;13;70
2010/2011;62;60;2;49
2011/2012;64;51;6;45
2012/2013;63;60;2;88
2013/2014;65;64;1;18
2014/2015;62;62;0;56
2015/2016;80;66;14;32
2016/2017;68;72;32;50
2017/2018;67;67;0;43
2018/2019;71;60;11;41
